url_path,views_total,views_unique
/tendermint/starport,2211,835
/tendermint/starport/pulls,640,40
/tendermint/starport/issues,401,91
/tendermint/starport/search,253,56
/tendermint/starport/tree/develop/starport,160,96
/tendermint/starport/pull/2146,102,14
/tendermint/starport/releases,94,61
/tendermint/starport/tree/develop/docs,94,58
/tendermint/starport/issues/2130,80,23
/tendermint/starport/issues/2098,67,15
